produto,ano_mes,volume,ano,mes
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_jun,1375.828,2013,jun
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_jun,982.796,2013,jun
Aço Bruto / Crude Steel,2013_jul,2918.241,2013,jul
Laminados / Rolled Products (*),2013_jul,2252.236,2013,jul
Planos / Flat Products,2013_jul,1251.395,2013,jul
Longos / Long Products,2013_jul,1000.841,2013,jul
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_jul,478.819,2013,jul
Placas / Slabs,2013_jul,367.807,2013,jul
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jul,111.012,2013,jul
Ferro-Gusa / Pig Iron,2013_jul,2213.095,2013,jul
Vendas Internas / Domestic Sales (*),2013_jul,2095.949,2013,jul
Laminados / Rolled Products,2013_jul,2043.6450000000002,2013,jul
Planos / Flat Products,2013_jul,1147.7250000000001,2013,jul
Longos / Long Products,2013_jul,895.9200000000001,2013,jul
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jul,52.304,2013,jul
Placas / Slabs,2013_jul,21.042,2013,jul
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jul,31.262,2013,jul
Vendas Externas / Foreign Market (**),2013_jul,443.421,2013,jul
Laminados / Rolled Products,2013_jul,141.38299999999998,2013,jul
Planos / Flat Products,2013_jul,68.841,2013,jul
Longos / Long Products,2013_jul,72.542,2013,jul
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jul,302.038,2013,jul
Placas / Slabs,2013_jul,283.569,2013,jul
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jul,18.469,2013,jul
Laminados / Rolled Products,2013_jul,200.957,2013,jul
Planos / Flat Products,2013_jul,104.51199999999999,2013,jul
Longos / Long Products,2013_jul,96.44500000000001,2013,jul
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jul,267.459,2013,jul
Placas / Slabs,2013_jul,235.836,2013,jul
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jul,31.623,2013,jul
Total (Mil t / Thousand Tonnes),2013_jul,468.416,2013,jul
(US$ Milhões / US$ Millions),2013_jul,345.875,2013,jul
Laminados / Rolled Products,2013_jul,381.225,2013,jul
Planos / Flat Products,2013_jul,222.136,2013,jul
Longos / Long Products,2013_jul,159.089,2013,jul
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jul,0.685,2013,jul
Total (Mil t / Thousand Tonnes),2013_jul,381.91,2013,jul
(US$ Milhões / US$ Millions),2013_jul,434.529,2013,jul
Consumo Aparente / Apparent Consumption (***),2013_jul,2473.819,2013,jul
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_jul,1392.466,2013,jul
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_jul,1081.353,2013,jul
Aço Bruto / Crude Steel,2013_ago,2976.77,2013,ago
Laminados / Rolled Products (*),2013_ago,2257.548,2013,ago
Planos / Flat Products,2013_ago,1270.671,2013,ago
Longos / Long Products,2013_ago,986.877,2013,ago
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_ago,500.976,2013,ago
Placas / Slabs,2013_ago,395.244,2013,ago
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_ago,105.732,2013,ago
Ferro-Gusa / Pig Iron,2013_ago,2308.4,2013,ago
Vendas Internas / Domestic Sales (*),2013_ago,2226.363,2013,ago
Laminados / Rolled Products,2013_ago,2182.214,2013,ago
Planos / Flat Products,2013_ago,1220.747,2013,ago
Longos / Long Products,2013_ago,961.467,2013,ago
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_ago,44.149,2013,ago
Placas / Slabs,2013_ago,20.405,2013,ago
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_ago,23.744,2013,ago
Vendas Externas / Foreign Market (**),2013_ago,590.543,2013,ago
Laminados / Rolled Products,2013_ago,172.692,2013,ago
Planos / Flat Products,2013_ago,70.028,2013,ago
Longos / Long Products,2013_ago,102.664,2013,ago
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_ago,417.851,2013,ago
